id,level,kind,source,page,title,reading,status
N2-vocab-0244,N2,vocab,N2 Junbi Từ vựng,76,共同,きょうどう,TITLE_IN_PDF
N2-vocab-0245,N2,vocab,N2 Junbi Từ vựng,76,転職,てんしょく,TITLE_IN_PDF
N2-vocab-0246,N2,vocab,N2 Junbi Từ vựng,76,日差し,ひざし,TITLE_IN_RAW_ONLY
N2-vocab-0247,N2,vocab,N2 Junbi Từ vựng,77,絵画展,かいがてん,TITLE_IN_PDF
N2-vocab-0248,N2,vocab,N2 Junbi Từ vựng,77,採集,さいしゅう,TITLE_IN_PDF
N2-vocab-0249,N2,vocab,N2 Junbi Từ vựng,77,取得,しゅとく,TITLE_IN_PDF
N2-vocab-0250,N2,vocab,N2 Junbi Từ vựng,77,天候,てんこう,TITLE_IN_PDF
N2-vocab-0251,N2,vocab,N2 Junbi Từ vựng,79,疑問,ぎもん,TITLE_IN_PDF
N2-vocab-0252,N2,vocab,N2 Junbi Từ vựng,79,専攻,せんこう,TITLE_IN_PDF
N2-vocab-0253,N2,vocab,N2 Junbi Từ vựng,80,防犯,ぼうはん,TITLE_IN_PDF
N2-vocab-0254,N2,vocab,N2 Junbi Từ vựng,80,事業,じぎょう,TITLE_IN_PDF
N2-vocab-0255,N2,vocab,N2 Junbi Từ vựng,80,予想,よそう,TITLE_IN_PDF
N2-vocab-0256,N2,vocab,N2 Junbi Từ vựng,80,誤解,ごかい,TITLE_IN_PDF
N2-vocab-0257,N2,vocab,N2 Junbi Từ vựng,81,気候,きこう,TITLE_IN_PDF
N2-vocab-0258,N2,vocab,N2 Junbi Từ vựng,81,講座,こうざ,TITLE_IN_PDF
N2-vocab-0259,N2,vocab,N2 Junbi Từ vựng,81,設計,せっけい,TITLE_IN_PDF
