id,source,page,title,status,old_len,new_len
N2-vocab-0282,N2 Junbi Từ vựng,88,真実,replaced,96,96
N2-vocab-0283,N2 Junbi Từ vựng,88,でたらめ,replaced,61,55
N2-vocab-0284,N2 Junbi Từ vựng,89,各々,replaced,85,85
N2-vocab-0285,N2 Junbi Từ vựng,89,打ち合わせ,replaced,109,109
N2-vocab-0286,N2 Junbi Từ vựng,89,礼儀,replaced,99,99
N2-vocab-0287,N2 Junbi Từ vựng,89,訓練,replaced,125,125
N2-vocab-0288,N2 Junbi Từ vựng,90,娯楽,replaced,83,83
N2-vocab-0289,N2 Junbi Từ vựng,90,当たり前,replaced,81,81
N2-vocab-0290,N2 Junbi Từ vựng,90,あちこち,replaced,83,83
N2-vocab-0291,N2 Junbi Từ vựng,91,あらすじ,replaced,109,99
N2-vocab-0292,N2 Junbi Từ vựng,91,呑気,replaced,103,103
N2-vocab-0293,N2 Junbi Từ vựng,91,普段,replaced,101,115
N2-vocab-0294,N2 Junbi Từ vựng,92,黑字,replaced,119,88
N2-vocab-0295,N2 Junbi Từ vựng,92,感謝,replaced,93,77
N2-vocab-0296,N2 Junbi Từ vựng,92,拒否,replaced,133,133
N2-vocab-0297,N2 Junbi Từ vựng,92,景色,replaced,107,107
N2-vocab-0298,N2 Junbi Từ vựng,93,貿易,replaced,77,77
N2-vocab-0299,N2 Junbi Từ vựng,93,防災,replaced,158,139
N2-vocab-0300,N2 Junbi Từ vựng,93,装置,replaced,83,83
N2-vocab-0301,N2 Junbi Từ vựng,94,治療,replaced,76,66
N2-vocab-0302,N2 Junbi Từ vựng,94,医療,replaced,64,64
N2-vocab-0303,N2 Junbi Từ vựng,94,針,replaced,81,95
N2-vocab-0304,N2 Junbi Từ vựng,95,行事,replaced,121,121
N2-vocab-0305,N2 Junbi Từ vựng,95,供給,replaced,77,77
N2-vocab-0306,N2 Junbi Từ vựng,95,設備,replaced,149,149
N2-vocab-0307,N2 Junbi Từ vựng,95,建設,replaced,86,86
N2-vocab-0308,N2 Junbi Từ vựng,96,印刷,replaced,72,72
N2-vocab-0309,N2 Junbi Từ vựng,96,貨物,replaced,119,119
N2-vocab-0310,N2 Junbi Từ vựng,96,延期,replaced,76,76
N2-vocab-0311,N2 Junbi Từ vựng,97,機嫌,replaced,136,126
N2-vocab-0312,N2 Junbi Từ vựng,97,規制,replaced,94,94
N2-vocab-0313,N2 Junbi Từ vựng,97,皮膚,replaced,87,101
N2-vocab-0314,N2 Junbi Từ vựng,98,熱演,replaced,92,92
N2-vocab-0315,N2 Junbi Từ vựng,98,就職,replaced,67,67
N2-vocab-0316,N2 Junbi Từ vựng,98,構造,replaced,126,126
N2-vocab-0317,N2 Junbi Từ vựng,98,更新,replaced,98,98
